s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_HEPTAN_SURROGATE,MLR_PRODUCTS,ZONE_1
 2.3800520E+002, 2.1980418E+001, 0.0000000E+000,-9.6224034E+000, 2.6037367E-005,-1.0475972E+001, 0.0000000E+000, 8.8884743E-001, 0.0000000E+000, 2.8618916E+000, 2.7709159E+000, 0.0000000E+000, 5.7843469E-004, 0.0000000E+000, 8.4965791E+003
 2.3900523E+002, 2.2182901E+001, 0.0000000E+000,-1.0015406E+001, 4.5476027E-005,-1.0521499E+001, 0.0000000E+000, 7.2737874E-001, 0.0000000E+000, 2.4129823E+000, 2.3734204E+000, 0.0000000E+000, 5.7312153E-004, 0.0000000E+000, 8.5116945E+003
 2.4000600E+002, 2.5101230E+001, 0.0000000E+000,-1.0697319E+001,-8.4182497E-006,-1.0545552E+001, 0.0000000E+000, 1.6356686E+000, 0.0000000E+000, 5.5637963E+000, 5.4940200E+000, 0.0000000E+000, 5.6933744E-004, 0.0000000E+000, 8.5460652E+003
 2.4100566E+002, 2.7593940E+001, 0.0000000E+000,-1.1540739E+001, 8.4976752E-006,-1.0621688E+001, 0.0000000E+000, 2.2644264E+000, 0.0000000E+000, 7.7368143E+000, 7.6959480E+000, 0.0000000E+000, 5.6758203E-004, 0.0000000E+000, 8.5935240E+003
 2.4200700E+002, 2.9532067E+001, 0.0000000E+000,-1.1877797E+001,-2.3245499E-005,-1.0768628E+001, 0.0000000E+000, 2.8809262E+000, 0.0000000E+000, 9.8916724E+000, 9.7665451E+000, 0.0000000E+000, 5.6777903E-004, 0.0000000E+000, 8.6542655E+003
 2.4300313E+002, 1.6445693E+001, 0.0000000E+000,-8.5900077E+000,-3.9939084E-006,-1.0847660E+001, 0.0000000E+000,-1.0815561E+000, 0.0000000E+000,-4.0048761E+000,-4.0735348E+000, 0.0000000E+000, 5.6965275E-004, 0.0000000E+000, 8.6316809E+003
 2.4400375E+002, 1.8844410E+001, 0.0000000E+000,-9.3909957E+000, 3.3482696E-005,-1.0735063E+001, 0.0000000E+000,-4.3225712E-001, 0.0000000E+000,-1.6777032E+000,-1.7138718E+000, 0.0000000E+000, 5.7313970E-004, 0.0000000E+000, 8.6224868E+003
 2.4500151E+002, 2.3462619E+001, 0.0000000E+000,-1.0376856E+001,-6.2394892E-005,-1.0694370E+001, 0.0000000E+000, 1.0507087E+000, 0.0000000E+000, 3.4814115E+000, 3.4420387E+000, 0.0000000E+000, 5.7687360E-004, 0.0000000E+000, 8.6444701E+003
 2.4600620E+002, 2.2679478E+001, 0.0000000E+000,-1.0345852E+001, 1.9427747E-005,-1.0615268E+001, 0.0000000E+000, 7.7383972E-001, 0.0000000E+000, 2.5481622E+000, 2.4922177E+000, 0.0000000E+000, 5.8087380E-004, 0.0000000E+000, 8.6607510E+003
 2.4700163E+002, 2.2201293E+001, 0.0000000E+000,-9.9939478E+000,-2.4062876E-005,-1.0551218E+001, 0.0000000E+000, 7.6234366E-001, 0.0000000E+000, 2.4605301E+000, 2.4184471E+000, 0.0000000E+000, 5.8168163E-004, 0.0000000E+000, 8.6766642E+003
