s,C,C,1/m,1/m
Time,TC_Ceiling_F1,TC_F1_1_8,EXT_F1_1_8,EXT_DEVC_F1_2_3
 1.5600759E+002, 7.0071084E+001, 3.7464036E+001, 1.0039450E+000, 9.2501775E-001
 1.5700727E+002, 6.9236807E+001, 3.7965666E+001, 9.9187577E-001, 9.1805824E-001
 1.5800183E+002, 7.0282211E+001, 3.8198078E+001, 9.8447659E-001, 9.1809176E-001
 1.5900233E+002, 7.2763108E+001, 3.7974961E+001, 8.6045141E-001, 9.3724667E-001
 1.6000042E+002, 7.7502563E+001, 3.7427525E+001, 9.1574220E-001, 9.3629310E-001
 1.6100634E+002, 7.9651358E+001, 3.7282326E+001, 9.8284589E-001, 9.4224512E-001
 1.6200099E+002, 8.2041258E+001, 3.7646287E+001, 1.0057833E+000, 9.4701446E-001
 1.6300785E+002, 8.3030907E+001, 3.7996607E+001, 1.0111856E+000, 9.5534397E-001
 1.6400117E+002, 8.1755463E+001, 3.8247033E+001, 1.0173968E+000, 9.6103391E-001
 1.6500118E+002, 7.9510613E+001, 3.8593364E+001, 1.0265904E+000, 9.6828982E-001
 1.6600229E+002, 7.7773593E+001, 3.8811401E+001, 1.0353079E+000, 9.7320864E-001
 1.6700384E+002, 7.8840612E+001, 3.8986478E+001, 1.0576867E+000, 9.9952778E-001
 1.6800054E+002, 8.2418170E+001, 3.9320569E+001, 1.0783905E+000, 1.0113745E+000
 1.6900272E+002, 8.2577959E+001, 3.9763442E+001, 1.0957468E+000, 1.0212895E+000
 1.7000890E+002, 8.2521134E+001, 3.9915187E+001, 1.0430896E+000, 1.0393915E+000
 1.7100262E+002, 8.2681017E+001, 3.9395460E+001, 9.1274067E-001, 1.0614871E+000
 1.7200606E+002, 8.6153411E+001, 3.9069703E+001, 1.0453015E+000, 1.0675123E+000
 1.7300505E+002, 8.7855604E+001, 3.9426586E+001, 1.1068810E+000, 1.0780273E+000
 1.7400025E+002, 8.6396417E+001, 3.9721589E+001, 1.1174053E+000, 1.0918061E+000
 1.7500175E+002, 8.4650504E+001, 3.9632671E+001, 1.0822199E+000, 1.0954685E+000
 1.7600806E+002, 8.4221485E+001, 3.9621507E+001, 1.1340369E+000, 1.0719757E+000
